Datum;Zulauf: Zulauf KA (Abwassermenge pro Tag) in m³;Zulauf: CSB (Maß für Summe aller organischer Berbindungen) in mg/l;Zulauf: BSB (Maß für Sauerstoffbedarf für biologischen Abbau) in mg/l;Zulauf: Phosphor in mg/l;Zulauf: Gebundener Stickstoff in mg/l;Zulauf: Ammoniumstickstroff in mg/l;Ablauf: KA (zeitl. Verschiebung durch Aufenthaltsdauer) in m³;Ablauf: CSB (Maß für Summe aller organischer Berbindungen) in mg/l;Ablauf: BSB (Maß für Sauerstoffbedarf für biologischen Abbau) in mg/l;Ablauf: Phosphor in mg/l;Ablauf: Gebundener Stickstoff in mg/l;Ablauf: Ammoniumstickstroff in mg/l;Entsorgte Schlammmenge in t;TS-Gehalt entwässerten Schlammes in %;Grenzwert für CSB (Maß für Summe aller organischer Berbindungen) in mg/l;Grenzwert für BSB (Maß für Sauerstoffbedarf für biologischen Abbau) in mg/l;Grenzwert für Phosphor in mg/l;Grenzwert für Gebundener Stickstoff in mg/l;Grenzwert für Ammoniumstickstroff in mg/l;Fremdbezug in kwh;BHKW_Erzeugung in kwh;BHKW_Einspeisung in kwh;Verbrauch KA in kwh;Durchfluß Gasanfall im FB in m³/h;Abgang Schlamm/NKB Wirkleistung des 3 Phasennetzes;Abgang Belebung Wirkleistung des 3 Phasennetzes;Abgang Rechen Wirkleistung des 3 Phasennetzes;Abgang Schlammentwässerung  Wirkleistung des 3 Phasennetzes;Wirkleistung Brauchwasser;BB1 - Trockensub.;BB2 - Trockensub.;BB3 - Trockensub.;Druck Luftleitung zum Becken 1;Druck Luftleitung zum Becken 2;Druck Luftleitung zum Becken 3;Durchfluß Luftleitung Gebläse 1-2;Durchfluß Luftleitung Gebläse 3-4;Durchfluß Luftleitung Gebläse 5-6;Durchfluß RLS von NKB;Schlamm zum ÜSS-Eindicker;Primärschlamm zum Faulbehälter;Schlamm zum ÜSS-Eindicker;Fett gesamt in m³
01.01.2016;7505;742;;;;;7477;;;;;;;20,8;90;20;10;18;2;;;;;1634,27;699,75;1895;351,25;47,25;12,9;3,87;3,88;3,5;533,04;530,32;538,07;1171,59;599,25;414,52;;430;38,4;430;0
02.01.2016;8209;704;;;;;8190;;;;;;;20,8;90;20;10;18;2;;;;;1571,65;670;2043;464,75;47,5;13,3;3,92;3,6;3,33;548,79;544,2;551,17;1176,19;686,36;643,67;;432;37,5;432;0
03.01.2016;8364;1154;;;;;8107;;;;;;;20,8;90;20;10;18;2;;;;;1530,45;670,75;2128;669,25;48;13,4;3,77;3,65;3,31;554,01;549,3;556,47;1279,32;715,1;630,58;;430;37,7;430;0
04.01.2016;8780;613;316;;68;;8749;43,6;4,4;0,007;5,78;1,36;14,06;20,8;90;20;10;18;2;;;;;1509,31;718,75;2270,5;662,5;347,5;19,1;3,78;3,64;3,15;534,53;532,01;540,12;1367,41;783,92;522,14;;432;36,9;432;6,4
05.01.2016;8335;785;;;;;8133;;;;;;22,86;20,8;90;20;10;18;2;;;;;1547,47;739;2143,25;645,25;360;20,7;3,99;3,64;3,29;551,16;546,6;553,61;1147,56;763,11;599,23;;430,2;41,6;430,2;2,6
06.01.2016;8684;749;;8,3;;49,4;8570;;;;;;;20,8;90;20;10;18;2;;;;;1460,67;722;2207,5;654,75;137;20,4;3,7;3,55;3,28;557,87;553,01;560,27;1140,93;812,7;641,91;;432;41,5;432;3,2
07.01.2016;8482;767;;;;;8329;;;0,079;6,96;1,32;13,32;20,8;90;20;10;18;2;;;;;1424,06;726,75;2101;641,75;345,5;20,8;3,88;3,61;3,24;534,73;532,62;540,68;1042,04;817,11;517,16;;429,9;42,2;429,9;0
08.01.2016;11777;1087;;;;;11546;;;;;;14,16;20,8;90;20;10;18;2;;;;;1649,57;715,25;2577,25;410,75;263,5;24,1;3,89;3,66;3,27;553,34;549,41;556,52;1358,53;884,27;733,01;;432;40,8;432;10,2
09.01.2016;8754;745;;;;;8738;;;;;;;20,8;90;20;10;18;2;;;;;1660,64;697,75;2421,25;496,5;80,5;18;3,76;3,51;3,21;557,02;552,65;559,88;1309,52;923,88;703,58;;429,9;41,9;429,9;0
10.01.2016;9404;1172;;;;;9133;;;;;;;20,8;90;20;10;18;2;;;;;1531,81;683;2473;390,75;79,75;12,5;3,66;3,51;3,32;541,24;538,57;546,45;1432,57;935,07;687,37;;432;40,7;432;0
